,city,confidence,nThumbsUp,street,uuid,country,type,subtype,roadType,reliability,magvar,reportRating,ts,geo,geoWKT
281836,"Chicago, IL",0,,E Randolph St,d11489e4-889c-434e-bad2-938aee9dd1d6,US,JAM,JAM_HEAVY_TRAFFIC,1,5,267,3,2024-09-18 23:05:55 UTC,POINT(-87.622407 41.88452),Point(-87.622407 41.88452)
177727,"Chicago, IL",0,,W Augusta Blvd,8357996a-f389-4af2-b3fe-d3b176b2c627,US,JAM,,2,5,268,2,2024-06-04 19:40:34 UTC,POINT(-87.680695 41.89949),Point(-87.680695 41.89949)
298905,"Chicago, IL",2,,,f6a93260-6f66-4daa-855b-2adff5034a02,US,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,4,10,247,3,2024-09-19 13:42:16 UTC,POINT(-87.699216 41.831287),Point(-87.699216 41.831287)
62165,"Chicago, IL",0,,I-90 W,10eb3859-f643-4888-8821-60dd77168df4,US,JAM,,3,5,358,3,2024-09-24 19:16:12 UTC,POINT(-87.64433 41.862141),Point(-87.64433 41.862141)
740823,"Chicago, IL",1,,DuSable Lake Shore Dr,fafba881-8193-4fca-a374-6371f88f3e80,US,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,6,10,179,3,2024-08-19 14:24:29 UTC,POINT(-87.614226 41.891329),Point(-87.614226 41.891329)
722914,"Chicago, IL",0,,W Chicago Ave,bc45fd33-f0f0-432b-b2a8-a6ce24387dd0,US,JAM,JAM_HEAVY_TRAFFIC,7,5,89,2,2024-10-03 12:32:53 UTC,POINT(-87.747981 41.894987),Point(-87.747981 41.894987)
99717,"Chicago, IL",0,,I-90 W,042ecd95-fe5f-41ee-9076-fa58bceaa48c,US,JAM,JAM_STAND_STILL_TRAFFIC,3,5,308,1,2024-09-12 17:34:50 UTC,POINT(-87.692268 41.930548),Point(-87.692268 41.930548)
628526,"Chicago, IL",0,,I-90 W,e3b17c8c-e683-4cba-9083-6bf81a4b3d2a,US,JAM,JAM_HEAVY_TRAFFIC,3,5,322,3,2024-05-05 20:34:39 UTC,POINT(-87.657873 41.896166),Point(-87.657873 41.896166)
577247,"Chicago, IL",0,,W Fullerton Ave,11fee1ba-628e-4203-8b45-3210be64671b,US,HAZARD,HAZARD_ON_ROAD_CAR_STOPPED,7,5,89,2,2024-01-25 00:52:21 UTC,POINT(-87.67504 41.925065),Point(-87.67504 41.925065)
502311,"Chicago, IL",0,,I-290 E,8d0ea70a-1442-477c-9784-ee400bc9cfac,US,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,3,5,89,1,2024-07-04 20:15:23 UTC,POINT(-87.683054 41.875326),Point(-87.683054 41.875326)
591605,"Chicago, IL",0,,N Pulaski Rd,aa96c89b-1f91-4a81-b782-8807457c94d8,US,JAM,JAM_STAND_STILL_TRAFFIC,7,5,358,4,2024-07-30 23:13:01 UTC,POINT(-87.726517 41.915645),Point(-87.726517 41.915645)
489798,"Chicago, IL",0,,I-90 E,dfa0dedd-e912-46a7-ab37-a6a4ffd20f50,US,HAZARD,HAZARD_ON_ROAD,3,6,119,5,2024-08-28 13:02:48 UTC,POINT(-87.76157 41.970769),Point(-87.76157 41.970769)
185398,"Chicago, IL",0,,I-90 E,32bbce17-ed55-4172-aaed-c7b44767ea23,US,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,3,5,133,4,2024-05-27 19:36:26 UTC,POINT(-87.589072 41.752046),Point(-87.589072 41.752046)
6197,"Chicago, IL",0,,N Kimball Ave,96f8dd99-9c43-4b8e-8ca5-62dd3f56231c,US,JAM,JAM_HEAVY_TRAFFIC,2,5,178,3,2024-05-24 21:03:06 UTC,POINT(-87.713479 41.972556),Point(-87.713479 41.972556)
626645,"Chicago, IL",0,,I-90 W,653a5bea-54de-4965-8a93-0f92ce87d20d,US,JAM,JAM_HEAVY_TRAFFIC,3,5,289,3,2024-02-19 13:28:15 UTC,POINT(-87.763682 41.971589),Point(-87.763682 41.971589)
93268,"Chicago, IL",0,,N Western Ave,b1cd2879-ce24-402a-bfe4-b363a77a3900,US,ROAD_CLOSED,,6,5,60,4,2024-06-08 20:21:48 UTC,POINT(-87.686936 41.899379),Point(-87.686936 41.899379)
183349,"Chicago, IL",0,,I-90 W,d260cf85-3832-4699-8c0f-20f6eecc123d,US,JAM,JAM_HEAVY_TRAFFIC,3,6,287,4,2024-05-25 20:50:23 UTC,POINT(-87.637345 41.846132),Point(-87.637345 41.846132)
610124,"Chicago, IL",1,,I-290 E,5254b288-caf5-459b-82a2-dffa5e24c8cb,US,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,3,8,88,4,2024-09-29 02:45:11 UTC,POINT(-87.743924 41.871498),Point(-87.743924 41.871498)
709740,"Chicago, IL",0,,Exit 23A: Austin Blvd,bfa9924f-1834-44a0-9918-724fabfa44e5,US,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,4,6,269,2,2024-01-31 14:52:38 UTC,POINT(-87.769203 41.870935),Point(-87.769203 41.870935)
530620,"Chicago, IL",2,,DuSable Lake Shore Dr,c2685f44-f3b6-40a3-91c2-2545fd769abd,US,HAZARD,HAZARD_WEATHER_FLOOD,6,9,156,3,2024-01-27 00:23:22 UTC,POINT(-87.576094 41.782859),Point(-87.576094 41.782859)
408398,"Chicago, IL",0,,S Damen Ave,71d283a0-d65f-4184-8132-ec215e26a07c,US,JAM,JAM_STAND_STILL_TRAFFIC,2,5,1,2,2024-04-19 09:58:52 UTC,POINT(-87.675453 41.837542),Point(-87.675453 41.837542)
63523,"Chicago, IL",4,,I-94 E,413dabd7-c632-4842-abe7-9b8ce47d6bf6,US,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,3,10,201,4,2024-09-24 15:27:05 UTC,POINT(-87.594163 41.70004),Point(-87.594163 41.70004)
255441,"Chicago, IL",0,,W Lawrence Ave,5864a048-a898-4bb4-8c85-34ef842b6e04,US,JAM,JAM_HEAVY_TRAFFIC,7,5,89,4,2024-04-25 14:44:33 UTC,POINT(-87.700158 41.968522),Point(-87.700158 41.968522)
207972,"Chicago, IL",0,,I-90 E,4a50cc53-154c-4477-80ae-e40656018ac9,US,JAM,JAM_STAND_STILL_TRAFFIC,3,6,127,3,2024-04-11 16:07:00 UTC,POINT(-87.755277 41.96739),Point(-87.755277 41.96739)
757420,"Chicago, IL",0,,S Harlem Ave,6943e743-4910-4d7d-9e2e-c0552857291d,US,HAZARD,,6,6,358,0,2024-02-16 21:31:29 UTC,POINT(-87.801396 41.788854),Point(-87.801396 41.788854)
372395,"Chicago, IL",0,,N Broadway,8c7b5318-710e-4586-a8fe-b1cdad76290b,US,JAM,,7,5,178,0,2024-05-28 12:37:11 UTC,POINT(-87.660223 41.988587),Point(-87.660223 41.988587)
323569,"Chicago, IL",1,,I-90 E,c475c756-d7a5-4eca-8668-6b1283c55dc3,US,JAM,JAM_HEAVY_TRAFFIC,3,7,175,3,2024-04-16 21:13:33 UTC,POINT(-87.644809 41.867542),Point(-87.644809 41.867542)
376544,"Chicago, IL",0,,W Wilson Ave,f1c9b4a8-9145-4ce9-9dd7-c2fe010afa96,US,ROAD_CLOSED,,1,5,60,5,2024-03-28 19:02:55 UTC,POINT(-87.767376 41.964556),Point(-87.767376 41.964556)
624719,"Chicago, IL",0,,N California Ave,43f3526a-6455-4c5d-809f-8a6e2b7a8c76,US,JAM,JAM_HEAVY_TRAFFIC,2,5,179,5,2024-01-19 22:57:21 UTC,POINT(-87.697514 41.928273),Point(-87.697514 41.928273)
376812,"Chicago, IL",0,,N Central Ave,4797e07a-75ff-48be-b481-8f6cb7c7844f,US,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,7,7,358,4,2024-03-28 22:20:02 UTC,POINT(-87.766757 41.946087),Point(-87.766757 41.946087)
96906,"Chicago, IL",0,,,2907e3c4-3d17-4612-9768-1520233e1709,US,ACCIDENT,,4,5,154,4,2024-09-12 22:46:06 UTC,POINT(-87.644708 41.849703),Point(-87.644708 41.849703)
532383,"Chicago, IL",0,,,92feca64-6676-4b36-8534-864cf55124b4,US,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,3,5,269,4,2024-09-16 20:25:43 UTC,POINT(-87.637639 41.875671),Point(-87.637639 41.875671)
572837,"Chicago, IL",0,,N Ridge Ave,f8342aee-7b4a-4dfa-adb2-f3a97c429880,US,JAM,JAM_HEAVY_TRAFFIC,6,5,129,3,2024-04-23 12:15:55 UTC,POINT(-87.663521 41.98574),Point(-87.663521 41.98574)
617419,"Chicago, IL",0,,DuSable Lake Shore Dr,c2144e34-83ca-48f3-abe0-d3f9f0d0f376,US,JAM,JAM_STAND_STILL_TRAFFIC,6,6,176,2,2024-03-20 15:31:15 UTC,POINT(-87.646406 41.961401),Point(-87.646406 41.961401)
121913,"Chicago, IL",0,,W Peterson Ave,33e15889-fc14-4bc1-858c-68267b2b4ffb,US,JAM,JAM_STAND_STILL_TRAFFIC,6,5,268,0,2024-04-09 20:52:47 UTC,POINT(-87.683325 41.990614),Point(-87.683325 41.990614)
660002,"Chicago, IL",2,,DuSable Lake Shore Dr,e6f8d46c-f488-47ed-bb5f-9e50798d281b,US,HAZARD,HAZARD_ON_ROAD,6,10,340,2,2024-04-07 01:42:37 UTC,POINT(-87.616664 41.858375),Point(-87.616664 41.858375)
660349,"Chicago, IL",0,,E Pershing Rd,e09379e4-ac71-4ce7-824b-7130aa94efa5,US,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,7,5,89,2,2024-04-07 02:09:36 UTC,POINT(-87.621274 41.823779),Point(-87.621274 41.823779)
527070,"Chicago, IL",0,,W Hastings St,5312e16e-7e68-4df2-9a25-8990e6e3b692,US,HAZARD,HAZARD_ON_ROAD_EMERGENCY_VEHICLE,1,6,89,0,2024-08-14 14:03:08 UTC,POINT(-87.67788 41.86383),Point(-87.67788 41.86383)
223746,"Chicago, IL",0,,DuSable Lake Shore Dr,d61c411c-a170-4cb9-ab8e-fc8ec9cd5a95,US,JAM,JAM_STAND_STILL_TRAFFIC,6,5,170,4,2024-05-29 13:38:20 UTC,POINT(-87.6469 41.963823),Point(-87.6469 41.963823)
63946,"Chicago, IL",0,,,2d6662c8-af3f-4527-b87c-13d60a29b8e1,US,JAM,JAM_HEAVY_TRAFFIC,4,5,166,4,2024-09-24 21:53:25 UTC,POINT(-87.646061 41.873555),Point(-87.646061 41.873555)
271296,"Chicago, IL",0,,N Broadway,88bf88e6-2790-4c45-beae-f7e326265fa9,US,JAM,JAM_HEAVY_TRAFFIC,7,5,178,3,2024-06-06 12:01:13 UTC,POINT(-87.66025 41.989576),Point(-87.66025 41.989576)
770420,"Chicago, IL",0,,I-90 E,360fe936-434d-42a8-bb9e-3a7f9fe261b7,US,JAM,,3,6,127,5,2024-03-25 13:52:38 UTC,POINT(-87.675868 41.920859),Point(-87.675868 41.920859)
70476,"Chicago, IL",0,,W Addison St,0e4e5540-b2bd-4f58-b66a-32e120d52169,US,JAM,JAM_HEAVY_TRAFFIC,2,5,89,4,2024-01-29 13:24:48 UTC,POINT(-87.675659 41.946902),Point(-87.675659 41.946902)
363209,"Chicago, IL",0,,S Cicero Ave,9e191ffe-ef17-4679-8cf5-6e8f6183c085,US,JAM,,6,5,178,4,2024-05-16 13:20:42 UTC,POINT(-87.743491 41.820055),Point(-87.743491 41.820055)
718270,"Chicago, IL",0,,I-290 W,5a7971bc-da2d-49f0-bc80-29fb934f168d,US,JAM,,3,5,274,3,2024-08-05 15:56:14 UTC,POINT(-87.777626 41.87145),Point(-87.777626 41.87145)
518859,"Chicago, IL",0,,E Washington St,d6ddb611-ea8a-4fb5-bb10-f5ff57750dcf,US,ACCIDENT,,2,5,270,3,2024-08-31 22:59:25 UTC,POINT(-87.626006 41.883214),Point(-87.626006 41.883214)
116705,"Chicago, IL",0,,S Morgan St,41c9923d-b113-482b-be17-3246ae26b260,US,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,1,5,178,4,2024-04-24 06:34:57 UTC,POINT(-87.649599 41.778011),Point(-87.649599 41.778011)
165861,"Chicago, IL",3,,I-94 W • Edens Expwy,1d7c7785-f364-4948-85a5-ad279811e3ab,US,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,3,10,10,4,2024-04-04 18:39:31 UTC,POINT(-87.746727 41.978629),Point(-87.746727 41.978629)
305786,"Chicago, IL",0,,I-55 S,4642145e-b6f2-47b2-a998-7f30e43c7a3c,US,JAM,JAM_HEAVY_TRAFFIC,3,5,245,2,2024-06-13 22:20:17 UTC,POINT(-87.645301 41.846389),Point(-87.645301 41.846389)
414386,"Chicago, IL",0,,S Halsted St,05fbeb2e-5528-4797-85b8-e5521519f51c,US,JAM,JAM_HEAVY_TRAFFIC,7,5,180,2,2024-09-05 22:53:06 UTC,POINT(-87.646469 41.849007),Point(-87.646469 41.849007)
19342,"Chicago, IL",2,,to I-94 W / I-57 S,513b2636-73e5-498f-a92b-a4ecde0bad02,US,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,4,9,268,3,2024-07-09 15:09:21 UTC,POINT(-87.594438 41.713557),Point(-87.594438 41.713557)
410546,"Chicago, IL",0,,I-90 W,ac9f7347-73b8-4f74-8ce2-3bd48843edf1,US,JAM,JAM_HEAVY_TRAFFIC,3,5,289,0,2024-09-17 11:42:53 UTC,POINT(-87.761945 41.971134),Point(-87.761945 41.971134)
127735,"Chicago, IL",0,,DuSable Lake Shore Dr,9e897e26-4d67-4e6c-9db6-9ea1606f1a6a,US,JAM,JAM_HEAVY_TRAFFIC,6,5,319,4,2024-06-25 22:52:42 UTC,POINT(-87.634018 41.937001),Point(-87.634018 41.937001)
196526,"Chicago, IL",0,,I-90 W,3288c2d5-89fa-4126-a9c3-1cd206ee1711,US,HAZARD,HAZARD_ON_ROAD,3,6,269,3,2024-08-15 10:01:49 UTC,POINT(-87.797061 41.982538),Point(-87.797061 41.982538)
488833,"Chicago, IL",0,,W Irving Park Rd,9c4ad0f7-1975-4f50-b463-43846b372968,US,JAM,JAM_HEAVY_TRAFFIC,6,5,359,2,2024-09-01 03:47:41 UTC,POINT(-87.653204 41.954507),Point(-87.653204 41.954507)
610086,"Chicago, IL",0,,Exit 65: 103rd St / Stony Island Ave,8dac1993-2d2e-4f4a-9b26-c761991df2e4,US,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,4,5,37,5,2024-09-29 09:54:03 UTC,POINT(-87.591198 41.702337),Point(-87.591198 41.702337)
268467,"Chicago, IL",0,,to I-90 / I-94 E,20f37f9d-7fea-4634-b746-574588487f7a,US,ROAD_CLOSED,ROAD_CLOSED_EVENT,4,6,146,0,2024-05-08 01:39:52 UTC,POINT(-87.747302 41.964392),Point(-87.747302 41.964392)
545419,"Chicago, IL",0,,I-55 S,c7ea7078-0c7a-4c29-b498-4376b681ebc5,US,JAM,JAM_HEAVY_TRAFFIC,3,6,246,5,2024-10-11 03:35:22 UTC,POINT(-87.651856 41.845239),Point(-87.651856 41.845239)
158015,"Chicago, IL",0,,E 95th St,3a7270b3-c7b0-41bd-85ed-600dfe3ac82a,US,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,6,6,273,1,2024-05-10 14:08:43 UTC,POINT(-87.611465 41.72194),Point(-87.611465 41.72194)
224848,"Chicago, IL",0,,I-90 W,a4171324-4efa-4856-a938-3b35120cda97,US,ROAD_CLOSED,ROAD_CLOSED_EVENT,3,6,353,0,2024-05-29 05:55:14 UTC,POINT(-87.645607 41.883725),Point(-87.645607 41.883725)
758703,"Chicago, IL",0,,I-94 E • Edens Expwy,799520f5-d5c6-4cfa-b2eb-66e9614b7158,US,JAM,JAM_HEAVY_TRAFFIC,3,5,147,4,2024-02-16 01:30:47 UTC,POINT(-87.749893 41.984222),Point(-87.749893 41.984222)
185064,"Chicago, IL",0,,W Lawrence Ave,c1bdebaa-61a5-4e2c-9c60-3ff8087ff472,US,HAZARD,HAZARD_ON_ROAD,7,5,268,3,2024-05-27 20:21:40 UTC,POINT(-87.717907 41.968352),Point(-87.717907 41.968352)
687263,"Chicago, IL",4,,I-290 E,c4e3cd2c-e8fe-45f0-bfd1-9d3ce9d2b31e,US,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,3,10,89,0,2024-02-23 16:42:31 UTC,POINT(-87.678662 41.875358),Point(-87.678662 41.875358)
526079,"Chicago, IL",5,,I-90 E,d9159287-7485-4386-8eea-bfc80da1402e,US,HAZARD,HAZARD_WEATHER_FLOOD,3,10,161,4,2024-07-14 05:02:36 UTC,POINT(-87.660302 41.899479),Point(-87.660302 41.899479)
634225,"Chicago, IL",0,,S Dr. Martin Luther King Jr. Dr,fcea0c5b-ec31-41c0-94ce-9afb01e87625,US,HAZARD,HAZARD_ON_ROAD_CAR_STOPPED,7,5,177,3,2024-01-12 18:25:14 UTC,POINT(-87.618952 41.851142),Point(-87.618952 41.851142)
697749,"Chicago, IL",0,,N Forest Glen Ave,b41789a6-de41-418d-8b44-58844a2d67ed,US,JAM,JAM_HEAVY_TRAFFIC,1,5,238,3,2024-07-19 22:09:24 UTC,POINT(-87.748581 41.985468),Point(-87.748581 41.985468)
173540,"Chicago, IL",0,,to I-94 W,8ff572b4-dafd-45ea-96ab-c5c0cce997b7,US,ROAD_CLOSED,ROAD_CLOSED_EVENT,4,6,346,0,2024-06-12 19:15:38 UTC,POINT(-87.745961 41.964395),Point(-87.745961 41.964395)
383070,"Chicago, IL",0,,I-90 W,2ad5c6b6-518e-4f7c-b4ca-5a6da758e797,US,HAZARD,HAZARD_ON_ROAD,3,6,359,3,2024-06-24 09:42:43 UTC,POINT(-87.630603 41.782888),Point(-87.630603 41.782888)
337230,"Chicago, IL",0,,I-90 / I-94 Express,76ed7bca-f6df-4020-ad50-111c21ae0360,US,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,3,6,117,3,2024-03-03 21:34:57 UTC,POINT(-87.633483 41.845016),Point(-87.633483 41.845016)
676584,"Chicago, IL",0,,Exit 43A: Wilson Ave,704f12f9-2b34-4f22-9b15-21c2f13d86c1,US,ROAD_CLOSED,ROAD_CLOSED_EVENT,4,6,181,0,2024-06-20 18:43:06 UTC,POINT(-87.747228 41.967664),Point(-87.747228 41.967664)
319135,"Chicago, IL",0,,N Tripp Ave,e89efcc3-2696-406d-8b46-4b83829fe3d0,US,HAZARD,HAZARD_ON_ROAD_POT_HOLE,1,7,358,4,2024-06-15 18:26:14 UTC,POINT(-87.732827 41.922224),Point(-87.732827 41.922224)
530667,"Chicago, IL",1,,N Harlem Ave,7a95bdaa-565e-47d5-8ce4-ada2dc71ced6,US,HAZARD,HAZARD_WEATHER_FOG,6,8,1,4,2024-01-27 11:39:45 UTC,POINT(-87.80693 41.984003),Point(-87.80693 41.984003)
456478,"Chicago, IL",0,,W Montrose Ave,e0f7665c-7c8e-477b-be0a-d0b3d7f1513a,US,JAM,JAM_HEAVY_TRAFFIC,2,5,268,2,2024-06-30 00:15:47 UTC,POINT(-87.687861 41.961324),Point(-87.687861 41.961324)
713571,"Chicago, IL",0,,I-90 E,b8d73ab7-86bc-40f8-9ec7-c5c5a7b5a69a,US,JAM,JAM_HEAVY_TRAFFIC,3,5,132,1,2024-05-23 23:15:32 UTC,POINT(-87.744043 41.96123),Point(-87.744043 41.96123)
743475,"Chicago, IL",0,,I-90 W,a3668c63-1b1a-4d5e-8964-539a4bce789e,US,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,3,5,311,5,2024-05-06 00:06:11 UTC,POINT(-87.75091 41.965074),Point(-87.75091 41.965074)
724752,"Chicago, IL",3,,I-90 E,3f2d0634-fe8c-4c42-8627-8f4934cc3529,US,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,3,10,89,4,2024-08-25 04:26:31 UTC,POINT(-87.79045 41.982334),Point(-87.79045 41.982334)
167934,"Chicago, IL",0,,Alley,01c70f82-7753-42d9-8655-ccd092193f10,US,HAZARD,HAZARD_ON_ROAD_POT_HOLE,20,5,359,3,2024-04-02 17:44:17 UTC,POINT(-87.63786 41.900518),Point(-87.63786 41.900518)
484205,"Chicago, IL",0,,I-90 E,30eefdd5-2e8d-4eb7-b803-5e3ace914f5a,US,JAM,JAM_STAND_STILL_TRAFFIC,3,5,89,2,2024-04-06 16:18:41 UTC,POINT(-87.803023 41.98225),Point(-87.803023 41.98225)
204911,"Chicago, IL",1,,I-90 E,39ade00f-16c6-42ab-a7e6-0d3387f9f62b,US,JAM,JAM_STAND_STILL_TRAFFIC,3,7,130,4,2024-09-25 17:18:52 UTC,POINT(-87.750308 41.964363),Point(-87.750308 41.964363)
433090,"Chicago, IL",1,,I-55 S,00b1a86a-1cb6-4e1d-9fb9-ac4f8655983f,US,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,3,8,277,4,2024-10-10 14:48:53 UTC,POINT(-87.629007 41.847112),Point(-87.629007 41.847112)
158,"Chicago, IL",5,,I-55 S,58a90c87-f247-48e5-86d5-1126617fea62,US,HAZARD,HAZARD_ON_ROAD,3,10,266,3,2024-02-04 22:21:12 UTC,POINT(-87.634518 41.847445),Point(-87.634518 41.847445)
516249,"Chicago, IL",0,,to I-90 / I-94 E,3e09ea78-a71e-4c75-8bcd-b4ed7c1e6764,US,ACCIDENT,ACCIDENT_MAJOR,4,6,172,0,2024-04-12 19:57:58 UTC,POINT(-87.630989 41.821573),Point(-87.630989 41.821573)
525930,"Chicago, IL",1,,DuSable Lake Shore Dr,4d396ecd-9959-4ae8-882d-14bcd2bbf29d,US,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,6,9,150,3,2024-07-14 01:54:26 UTC,POINT(-87.596853 41.819025),Point(-87.596853 41.819025)
230670,"Chicago, IL",5,,I-90 I-94 Express,2a0a3fea-2aba-44b0-a294-5a0a0b0aae4c,US,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,3,10,358,1,2024-02-11 03:46:57 UTC,POINT(-87.631084 41.798155),Point(-87.631084 41.798155)
702432,"Chicago, IL",2,,S Pulaski Rd,b0541ac9-877f-47c7-a5e9-415e42add66c,US,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,6,10,179,3,2024-08-09 14:59:16 UTC,POINT(-87.723999 41.820871),Point(-87.723999 41.820871)
635371,"Chicago, IL",0,,S Wacker Dr,2b476eca-4780-482e-a557-0e3aa9cb5815,US,ACCIDENT,,2,7,359,4,2024-09-22 03:17:51 UTC,POINT(-87.636703 41.878352),Point(-87.636703 41.878352)
774035,"Chicago, IL",0,,N Western Ave,db808790-45aa-4090-8281-4f9f9042e3d5,US,JAM,JAM_HEAVY_TRAFFIC,6,5,179,4,2024-06-02 20:44:44 UTC,POINT(-87.688106 41.941293),Point(-87.688106 41.941293)
196379,"Chicago, IL",0,,W Garfield Blvd,c9c312e7-9c76-4e7d-9ed4-dd0ef6c408e9,US,JAM,,6,5,268,1,2024-08-15 23:01:19 UTC,POINT(-87.654426 41.794179),Point(-87.654426 41.794179)
420821,"Chicago, IL",0,,Alley,91d9717d-cd0d-4ebb-be31-fa8e0da895ec,US,ACCIDENT,,20,5,359,2,2024-09-13 07:36:00 UTC,POINT(-87.742615 41.810031),Point(-87.742615 41.810031)
285268,"Chicago, IL",0,,to US-41 S / DuSable Lake Shore Drive,abc32421-333e-49de-9689-7ce6af4c4fc7,US,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,4,6,92,4,2024-07-08 19:05:34 UTC,POINT(-87.616083 41.847951),Point(-87.616083 41.847951)
426755,"Chicago, IL",0,,I-94 W,be0897c9-42a3-49ea-b703-6e061eb8d945,US,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,3,5,327,5,2024-06-01 11:18:24 UTC,POINT(-87.598881 41.671848),Point(-87.598881 41.671848)
696990,"Chicago, IL",0,,I-90 W,b9d67924-4f6e-40dc-a54d-65bf2c01911d,US,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,3,6,307,4,2024-07-19 01:23:51 UTC,POINT(-87.728813 41.952943),Point(-87.728813 41.952943)
673796,"Chicago, IL",0,,to I-55 N • Stevenson Expwy » Lake Shore Dr,f559c5ea-9c23-4f92-8964-0dcfad4ce060,US,HAZARD,HAZARD_ON_ROAD,4,6,38,3,2024-06-20 03:48:35 UTC,POINT(-87.630544 41.846347),Point(-87.630544 41.846347)
538756,"Chicago, IL",0,,I-90 E,2808f30a-4955-480f-8045-928322c11493,US,JAM,JAM_HEAVY_TRAFFIC,3,6,128,4,2024-09-06 00:21:03 UTC,POINT(-87.696379 41.932231),Point(-87.696379 41.932231)
608694,"Chicago, IL",0,,W Devon Ave,b7252a11-d85c-4ff1-a1b5-77618ca9af96,US,JAM,JAM_STAND_STILL_TRAFFIC,7,5,89,4,2024-06-09 20:46:54 UTC,POINT(-87.788936 41.997343),Point(-87.788936 41.997343)
